Address,Name,Size,Length,SCR,Description,Category,Docs
006283F8,Last Unit Pointer,4,1,,The value is pointer to the last unit in the unitNodeTable....,Engine,Memory
006283F8,Player Last Unit Pointers,4,12,Backed By Code,"Edited by PereC, 2021-12-07: The pointer of the player...",Engine,Memory
00628428,LastHiddenUnitPointer,4,1,Backed By Code,From https://docs.google.com/spreadsheets/d/195jZK7Ap71eO1-...,Engine,Memory
0062842C,unknownPointer?,4,1,Backed By Code,From https://docs.google.com/spreadsheets/d/195jZK7Ap71eO1-...,Engine,Pointer
00628430,First Unit Pointer,4,1,Backed By Code,The value is pointer to the first unit in the unitNodeTable.,Engine,Memory
00628434,LastScannerSweepPointer,4,1,Backed By Code,From https://docs.google.com/spreadsheets/d/195jZK7Ap71eO1-...,Combat,Effect
00628438,First Empty Unit,4,1,Backed By Code,The address of the unit structure to be created -added by ...,Engine,Memory
0062843C,LastEmptyUnit,4,1,Backed By Code,,Engine,Memory
00628448,Screen Coordinate X,4,1,Read Only,The position of the screen on the X Axis. Note that it'...,Client,Camera
00628470,Screen Coordinate Y,4,1,Read Only,The position of the screen on the Y Axis. Note that it'...,Client,Camera
0062848C,glScrollPixelX,4,1,Read Only,Duplicate of screen coordinates?,Client,Camera
00628494,gfpCellMap,4,1,Backed By Code,Pointer to VX4 megatile buffer?,Client,Camera
006284A8,glScrollPixelY,4,1,Read Only,Duplicate of screen coordinates?,Client,Camera
006284B8,Current Player Selection,4,12,Backed By Code,Selection group of the current player  Seems to be duplic...,Client,Selection
006284E8,Player 1 Selection Group,4,12,Backed By Code,List of unit node pointers for Player's current group ...,Client,Selection
00628518,Player 2 Selection Group,4,12,Backed By Code,List of unit node pointers for Player's current group ...,Client,Selection
00628548,Player 3 Selection Group,4,12,Backed By Code,List of unit node pointers for Player's current group ...,Client,Selection
00628578,Player 4 Selection Group,4,12,Backed By Code,List of unit node pointers for Player's current group ...,Client,Selection
006285A8,Player 5 Selection Group,4,12,Backed By Code,List of unit node pointers for Player's current group ...,Client,Selection
006285D8,Player 6 Selection Group,4,12,Backed By Code,List of unit node pointers for Player's current group ...,Client,Selection
00628608,Player 7 Selection Group,4,12,Backed By Code,List of unit node pointers for Player's current group ...,Client,Selection
00628638,Player 8 Selection Group,4,12,Backed By Code,List of unit node pointers for Player's current group ...,Client,Selection
00629D98,Sprite Table,36,2500,Read Only,[SCR: See individual entries]  Difference between each en...,Client,Render
00629D98,CSprite - Previous Entry,4,1,Supported,,Client,Render
00629D9C,CSprite - Next Entry,4,1,Supported,,Client,Render
00629DA0,CSprite - Sprite ID,2,1,Supported,,Client,Render
00629DA2,CSprite - Player ID,1,1,Supported,,Client,Render
00629DA3,CSprite - Selection Index,1,1,Supported,Index in the selection area at the bottom of the screen.,Client,Render
00629DA4,CSprite - Visibility Flags,1,1,Supported,Player bits indicating the visiblity for a player.  P1: 1...,Client,Render
00629DA5,CSprite - Elevation Level,1,1,Unsupported,,Client,Render
00629DA6,CSprite - Draw Flags,1,1,Unsupported,0x01 - Draw selection circle 0x02 - Ally selection? 0x04 ...,Client,Render
00629DA7,CSprite - Selection Timer,1,1,Unsupported,,Client,Render
00629DA8,CSprite - Index,2,1,Unsupported,,Client,Render
00629DAA,CSprite - Unknown Flags 12,1,1,Unsupported,,Client,Render
00629DAB,CSprite - Unknown flags 13,1,1,Unsupported,,Client,Render
00629DAC,CSprite - Position,2,2,Unsupported,65536*Y + X,Client,Render
00629DB0,CSprite - Primary Image,4,1,Unsupported,Pointer to main CImage instance.,Client,Render
00629DB4,CSprite - Image Head,4,1,Unsupported,Pointer to first CImage instance associated with this sprit...,Client,Render
00629DB8,CSprite - Image Tail,4,1,Unsupported,Pointer to last CImage instance associated with this sprite.,Client,Render
0063FF48,Pylon Auras are Visible,4,1,,Read-Only (Writing to it apparently does nothing :C .),Combat,Effect
00640B24,gameTextCounters,4,12,Unsupported,Contains the tick count for when the message should disappe...,Client,UI
00640B58,Next Display Text Line,4,1,Simple Data,First line to be drawn on screen or written to.  Changing...,Client,UI
00640B60,Display Text,218,13,Backed By Code,Line IDs: 0-10: display text lines (first line defined by ...,Client,UI
0064DEBC,bulletCount,4,1,Read Only,From https://docs.google.com/spreadsheets/d/195jZK7Ap71eO1-...,Combat,Proj
00650980,Trigger Wait Timers,4,8,,Wait action timers for each player,Game,Event
006509A0,Trigger Execution Timer (Hyper triggers),4,1,Simple Data,"When this value reaches 0, trigger loop executes.  Preser...",Game,Event
006509B0,Trigger Current Player aka CP Trick,4,1,Simple Data,Used to dynamically run EUDs or dereference pointers.  Se...,Game,Event
00654880,Network Buffer,496,1,Backed By Code,Game Command Queue. See https://github.com/phu54321/vgce/bl...,Game,Event
00654AA0,Network Buffer Used,4,1,Supported,"Command queue (0x00654880) space used. Edited by PereC, 20...",Game,Event
006556E0,Accept Commands,4,1,Unsupported,"If 1, commands are accepted. If 0, all commands are ignore...",Client,Input
006556E4,Network Latency Option,4,1,,"-1 = """"Extra Low Latency"""" 0 = Low Latency 1 = Hi��",Game,Event
00655700,Upgrades.dat - Max Level,1,61,Simple Data,,Player,Upgrade
00655740,Upgrades.dat - Mineral Cost Base,2,61,Simple Data,Address 0x00655740 - Upgrade ID 000 - bit-mask 0x0000FFFF ...,Player,Upgrade
006557C0,Upgrades.dat - Gas Cost Factor,2,61,Simple Data,,Player,Upgrade
00655840,Upgrades.dat - Gas Cost Base,2,61,Simple Data,,Player,Upgrade
006558C0,Upgrades.dat - Dat Requirement Offset,2,61,Simple Data,,Player,Upgrade
00655940,Upgrades.dat - Time Factor,2,61,Simple Data,,Player,Upgrade
006559C0,Upgrades.dat - Mineral Cost Factor,2,61,Simple Data,,Player,Upgrade
00655A40,Upgrades.dat - Label,2,61,Simple Data,stat_txt.tbl index,Player,Upgrade
00655AC0,Upgrades.dat - Icon,2,61,Simple Data,cmdicons.grp frame,Player,Upgrade
00655B3C,Upgrades.dat - Brood War Flag,1,61,Simple Data,,Player,Upgrade
00655B80,Upgrades.dat - Time Base,2,61,Simple Data,,Player,Upgrade
00655BFC,Upgrades.dat - Race,1,61,Simple Data,0 = Zerg 1 = Terran 2 = Protoss 3 = All,Player,Upgrade
00655C58,Portdata.dat - Idle SMK,4,110,Backed By Code,1-based reference to portdata.tbl,Client,UI
00655E10,Portdata.dat - Idle SMK Change,1,110,,,Client,UI
00655E80,Portdata.dat - Talking SMK,4,110,Backed By Code,1-based reference to portdata.tbl,Client,UI
00656038,Portdata.dat - Idle Unknown,1,110,,,Client,UI
006560A8,Portdata.dat - Talking SMK change,1,110,,,Client,UI
00656118,Portdata.dat - Talking unknown,1,110,,,Client,UI
00656198,Techdata.dat - Unknown1,2,44,Simple Data,,Player,Upgrade
006561F0,Techdata.dat - Gas Cost,2,44,Simple Data,Address 0x006561F0 - Tech ID 000 - bit-mask 0x0000FFFF - *1...,Player,Upgrade
00656248,Techdata.dat - Mineral Cost,2,44,Simple Data,Address 0x00656248 - Tech ID 000 - bit-mask 0x0000FFFF - *1...,Player,Upgrade
006562A0,Techdata.dat - Label,2,44,Simple Data,stat_txt.tbl index,Player,Upgrade
006562F8,Techdata.dat - Data Restrictions,2,44,Simple Data,,Player,Upgrade
00656350,Techdata.dat - Researched,1,44,Simple Data,DatEdit says Unused?,Player,Upgrade
00656380,Techdata.dat - Energy Cost,2,44,Simple Data,,Player,Upgrade
006563D8,Techdata.dat - Time,2,44,Simple Data,,Player,Upgrade
00656430,Techdata.dat - Icon,2,44,Simple Data,cmdicons.grp frame index,Player,Upgrade
00656488,Techdata.dat - Race,1,44,Simple Data,0 = Zerg 1 = Terran 2 = Protoss 3 = All,Player,Upgrade
006564B4,Techdata.dat - Brood War Flag,1,44,Simple Data,,Player,Upgrade
006564E0,Weapons.dat - Damage Factor,1,130,Simple Data,,Combat,Damage
00656568,Weapons.dat - Target Error Message,2,130,Simple Data,stat_txt.tbl index,Combat,Collision
00656670,Weapons.dat - Behavior,1,130,Simple Data,0 = Fly & Don't Follow Target  1 = Fly & Foll...,Combat,State
